date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:37	264/264	---MC-	200	added ('OK')	text/plain	date:Wed,%2029%20Dec%202021%2001:09:57%20GMT	http://www.loyolaschooltrivandrum.com/robots.txt		(from )
13:11:38	3993/3993	---MC-	200	added ('OK')	text/html	date:Sun,%2017%20Oct%202021%2005:54:51%20GMT	http://www.loyolaschooltrivandrum.com/	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/index.html	(from )
13:11:39	24972/24972	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Dec%202020%2001:13:07%20GMT	http://www.loyolaschooltrivandrum.com/css/images/favicon.png	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/css/images/favicon.png	(from )
13:11:39	31313/31313	---MC-	200	added ('OK')	text/css	date:Tue,%2031%20Aug%202021%2007:06:32%20GMT	http://www.loyolaschooltrivandrum.com/css/main.css	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/css/main.css	(from )
13:11:40	31004/31004	---MC-	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2005:23:24%20GMT	http://www.loyolaschooltrivandrum.com/css/font-awesome.min.css	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/css/font-awesome.min.css	(from )
13:11:41	24972/24972	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Aug%202020%2010:32:20%20GMT	http://www.loyolaschooltrivandrum.com/css/images/logo.png	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/css/images/logo.png	(from )
13:11:42	242/242	---MC-	302	error ('Found')	text/html	date:Sun,%2020%20Feb%202022%2007:26:42%20GMT	http://www.loyolaschooltrivandrum.com/icse/about-us	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/icse/about-us.4.delayed	(from )
13:11:42	0/0	---M--	302	error ('')			http://www.loyolaschooltrivandrum.com/icse/about-us	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/icse/about-us.5.delayed	(from )
13:11:43	290/290	---MC-	302	error ('Found')	text/html	date:Sun,%2020%20Feb%202022%2007:26:42%20GMT	http://www.loyolaschooltrivandrum.com/icse/student-activities-and-achievements/achievements-2020-21	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/icse/student-activities-and-achievements/achievements-2020-21.6.delayed	(from )
13:11:43	0/0	---M--	302	error ('')			http://www.loyolaschooltrivandrum.com/icse/student-activities-and-achievements/achievements-2020-21	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/icse/student-activities-and-achievements/achievements-2020-21.7.delayed	(from )
13:11:44	248/248	---MC-	302	error ('Found')	text/html	date:Sun,%2020%20Feb%202022%2007:26:43%20GMT	http://www.loyolaschooltrivandrum.com/icse/children-s-day	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/icse/children-s-day.8.delayed	(from )
13:11:44	0/0	---M--	302	error ('')			http://www.loyolaschooltrivandrum.com/icse/children-s-day	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/icse/children-s-day.9.delayed	(from )
13:11:44	257/257	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Feb%202022%2007:26:44%20GMT	http://www.loyolaschooltrivandrum.com/loyola-mag	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/loyola-mag.a.delayed	(from )
13:11:46	86663/86663	---MC-	200	added ('OK')	application/javascript	date:Tue,%2011%20Sep%202018%2005:23:24%20GMT	http://www.loyolaschooltrivandrum.com/vendor/jquery/jquery.min.js	C:/Users/hp/Desktop/sarda%20school/www.loyolaschooltrivandrum.com/vendor/jquery/jquery.min.js	(from )
